TP_SEXO,TP_COR_RACA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,INTERNET_CASA,EST_IDADE,EST_RENDA_PER_CAP,EST_CELULAR_PER_CAP,EST_COMP_PER_CAP,EST_VEICULO_PER_CAP,EST_ELE_DOM_PER_CAP,cluster
Masculino,Branca,Privada,456.5,543.5,437.0,509.3,560.0,EF-2 incompleto,ES incompleto,True,17.0,1540.0016666666668,1.0,0.3333333333333333,0.3333333333333333,2.0,0
Feminino,Parda,Estadual,492.0,326.4,358.7,479.5,460.0,ES incompleto,PG completo,True,17.0,1815.0025,1.0,0.0,0.0,2.5,0
Masculino,Branca,Privada,639.3,709.2,791.5,570.2,640.0,PG completo,PG completo,True,17.0,4455.00125,1.125,1.125,0.75,1.5,1
Masculino,Parda,Privada,373.0,533.6,700.3,603.1,900.0,ES incompleto,PG completo,True,17.0,4455.00125,1.125,0.5,0.25,1.75,1
Feminino,Branca,Estadual,432.3,424.2,359.7,459.2,440.0,ES incompleto,EM incompleto,True,18.0,550.0016666666667,0.6666666666666666,0.0,0.0,1.6666666666666667,0
Feminino,Branca,Privada,592.4,591.6,596.5,590.7,820.0,PG incompleto,ES incompleto,True,18.0,742.50125,1.125,0.25,0.25,1.25,1
Feminino,Branca,Estadual,504.0,495.5,546.6,563.6,540.0,EF-1 incompleto,EM incompleto,True,18.0,550.0016666666667,0.6666666666666666,0.0,0.0,1.3333333333333333,0
Feminino,Parda,Privada,464.5,429.6,523.5,470.1,580.0,PG completo,PG completo,True,18.0,1540.0016666666668,1.0,0.6666666666666666,0.3333333333333333,2.0,0
Masculino,Branca,Privada,370.6,460.1,591.4,490.3,460.0,ES incompleto,PG incompleto,True,18.0,990.0016666666668,1.0,0.3333333333333333,0.3333333333333333,2.333333333333333,0
Feminino,Parda,Privada,599.1,565.0,649.8,558.0,900.0,EM incompleto,PG completo,True,17.0,2805.0012500000003,1.125,0.5,0.5,2.25,1
Feminino,Branca,Privada,602.2,449.5,573.4,536.3,880.0,PG incompleto,PG incompleto,True,18.0,2904.001,0.9,0.4,0.4,1.9,1
Masculino,Branca,Privada,682.1,687.1,849.3,653.0,800.0,PG completo,PG completo,True,17.0,4455.00125,1.125,0.75,0.5,1.75,1
Feminino,Parda,Estadual,539.2,474.5,535.3,552.7,540.0,EM incompleto,ES incompleto,True,18.0,0.0,0.3333333333333333,0.0,0.0,0.5,0
Masculino,Preta,Privada,615.5,558.8,641.2,653.9,740.0,PG incompleto,PG completo,True,17.0,4290.0025000000005,1.5,0.5,0.5,3.5,1
Masculino,Branca,Privada,550.7,520.2,541.1,592.3,580.0,PG completo,PG completo,True,17.0,1980.0016666666668,1.0,0.6666666666666666,0.3333333333333333,2.6666666666666665,0
Feminino,Branca,Estadual,512.8,495.4,424.5,547.2,660.0,ES incompleto,ES incompleto,True,17.0,385.0008333333333,0.75,0.1666666666666666,0.3333333333333333,1.1666666666666667,0
Feminino,Preta,Estadual,517.5,528.8,477.6,517.1,680.0,EF-2 incompleto,EF-2 incompleto,True,17.0,726.001,0.9,0.2,0.0,1.4,0
Masculino,Branca,Privada,589.5,557.3,758.0,624.0,960.0,PG completo,PG completo,True,18.0,7425.001249999999,1.125,1.125,1.125,2.25,1
Masculino,Branca,Privada,549.4,568.6,512.4,547.4,640.0,PG incompleto,PG incompleto,True,17.0,2860.001666666667,1.0,0.3333333333333333,1.0,2.0,0
Feminino,Preta,Privada,566.1,465.5,446.8,535.8,740.0,PG incompleto,ES incompleto,True,17.0,1980.0016666666668,1.0,1.0,0.3333333333333333,1.6666666666666667,0
Masculino,Branca,Estadual,633.6,469.2,378.1,563.0,540.0,EM incompleto,PG completo,True,18.0,1452.001,0.9,0.2,0.2,1.4,0
Masculino,Branca,Privada,622.5,569.3,741.3,647.9,840.0,PG completo,PG completo,True,18.0,2860.001666666667,1.0,1.0,0.0,1.6666666666666667,1
Feminino,Branca,Estadual,576.4,521.9,622.6,590.0,700.0,ES incompleto,ES incompleto,True,19.0,1155.0025,1.5,0.5,1.0,3.5,1
