,TP_SEXO,TP_COR_RACA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,INTERNET_CASA,EST_IDADE,EST_RENDA_PER_CAP,EST_CELULAR_PER_CAP,EST_COMP_PER_CAP,EST_VEICULO_PER_CAP,EST_ELE_DOM_PER_CAP
5047,Masculino,Amarela,Privada,659.4,747.0,943.6,597.2,900.0,PG completo,ES incompleto,True,17.0,3630.00125,0.75,0.5,0.5,1.0
5048,Feminino,Preta,Estadual,533.7,496.5,651.6,614.5,680.0,EM incompleto,ES incompleto,True,18.0,132.0,0.0,0.0,0.0,0.2
5049,Masculino,Branca,Estadual,501.2,518.8,525.2,501.0,440.0,PG incompleto,PG incompleto,True,17.0,5940.001666666667,1.0,1.0,0.6666666666666666,3.0
5050,Feminino,Branca,Estadual,411.6,405.3,335.7,427.9,600.0,EM incompleto,EM incompleto,True,18.0,235.715,0.1428571428571428,0.1428571428571428,0.0,1.0
5051,Masculino,Parda,Estadual,508.1,535.7,484.9,497.5,520.0,ES incompleto,EM incompleto,True,19.0,990.0016666666668,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333
5052,Masculino,Branca,Privada,622.2,673.2,794.8,581.3,920.0,PG completo,PG completo,True,17.0,4455.00125,1.125,1.125,0.25,2.0
5053,Feminino,Branca,Estadual,589.2,518.1,585.9,549.9,780.0,EF-1 incompleto,EM incompleto,True,18.0,165.0,0.75,0.0,0.0,0.5
5054,Masculino,Branca,Privada,522.3,533.0,400.7,560.0,560.0,EF-1 incompleto,PG incompleto,True,17.0,1980.0016666666668,1.0,0.3333333333333333,0.0,0.6666666666666666
5055,Masculino,Branca,Privada,510.8,579.2,532.5,551.2,500.0,PG completo,PG completo,True,16.0,5775.001249999999,1.125,0.75,0.5,1.5
5056,Feminino,Branca,Privada,612.2,593.1,595.6,552.0,640.0,PG incompleto,ES incompleto,True,17.0,1716.0010000000002,0.9,0.0,0.4,1.2
5057,Masculino,Branca,Privada,568.3,469.1,619.1,476.9,0.0,PG completo,ES incompleto,True,18.0,2420.0016666666666,1.0,1.0,0.3333333333333333,3.0
5058,Feminino,Branca,Estadual,433.1,451.7,536.2,440.4,560.0,EM incompleto,ES incompleto,True,18.0,1155.00125,1.125,0.25,0.25,1.5
5059,Feminino,Branca,Estadual,576.2,551.9,523.3,562.3,700.0,ES incompleto,PG incompleto,True,18.0,742.50125,1.125,0.25,0.25,2.25
5060,Masculino,Branca,Privada,633.1,702.0,794.9,569.8,860.0,PG completo,PG incompleto,True,17.0,7425.001249999999,1.125,0.5,0.25,2.25
5061,Masculino,Amarela,Privada,452.0,417.9,448.4,468.7,560.0,ES incompleto,ES incompleto,True,17.0,907.50125,1.125,0.5,0.25,1.25
5062,Masculino,Branca,Privada,708.7,705.5,764.4,624.5,840.0,PG completo,PG incompleto,True,17.0,5940.000999999999,0.9,0.9,1.0,2.5
5063,Feminino,Branca,Estadual,576.5,515.3,415.5,502.5,700.0,ES incompleto,PG incompleto,True,18.0,742.50125,1.125,0.0,0.25,1.75
5064,Masculino,Amarela,Privada,609.8,654.9,729.3,625.3,920.0,PG incompleto,PG incompleto,True,18.0,3300.001666666667,1.0,0.6666666666666666,0.3333333333333333,2.333333333333333
5065,Feminino,Branca,Privada,598.0,630.8,589.4,633.9,740.0,PG incompleto,PG incompleto,True,18.0,3300.001666666667,0.3333333333333333,1.0,0.6666666666666666,2.333333333333333
5066,Feminino,Branca,Privada,490.1,542.9,644.9,662.8,680.0,PG incompleto,PG completo,True,18.0,3135.0012500000003,1.125,0.5,0.75,2.625
5067,Feminino,Branca,Estadual,572.4,545.8,565.4,568.5,640.0,PG incompleto,PG completo,True,18.0,5775.001249999999,1.125,1.125,0.5,2.0
5068,Masculino,Amarela,Privada,591.1,722.1,821.5,580.0,720.0,ES incompleto,PG incompleto,True,18.0,2475.0012500000003,1.125,1.125,0.5,2.0
5069,Feminino,Branca,Privada,614.7,610.0,727.1,543.3,680.0,PG completo,PG completo,True,18.0,9900.001666666663,1.0,1.0,0.3333333333333333,3.0
5070,Masculino,Branca,Privada,497.2,350.7,681.8,477.4,720.0,PG incompleto,PG completo,True,17.0,7425.001249999999,1.125,1.125,0.5,2.375
5071,Feminino,Branca,Estadual,574.9,449.0,657.7,533.1,540.0,EF-2 incompleto,EM incompleto,True,17.0,1485.0025,1.0,0.5,0.0,2.5
5072,Feminino,Branca,Estadual,518.2,555.4,614.3,560.6,560.0,EF-1 incompleto,PG incompleto,True,17.0,990.0016666666668,1.0,0.0,0.3333333333333333,1.6666666666666667
5073,Feminino,Branca,Estadual,492.2,533.3,607.5,560.9,900.0,ES incompleto,ES incompleto,True,17.0,330.0,0.5,0.0,0.0,3.0
5074,Feminino,Branca,Privada,413.0,391.0,619.7,524.4,0.0,ES incompleto,ES incompleto,True,17.0,1980.0016666666668,1.0,0.3333333333333333,0.6666666666666666,2.0
5075,Feminino,Branca,Estadual,431.4,537.8,379.0,537.9,600.0,ES incompleto,ES incompleto,True,17.0,1155.0025,1.0,0.0,0.0,2.0
5076,Feminino,Preta,Estadual,526.3,452.0,508.0,542.0,560.0,EF-2 incompleto,EM incompleto,False,18.0,330.0,1.0,0.0,0.0,2.0
5077,Feminino,Branca,Privada,622.8,540.8,833.6,650.3,960.0,PG completo,PG incompleto,True,18.0,7425.001249999999,1.125,1.125,0.75,3.5
5078,Feminino,Branca,Estadual,598.2,517.3,585.9,586.8,600.0,ES incompleto,EF-2 incompleto,True,18.0,462.001,0.9,0.2,0.0,2.0
5079,Feminino,Branca,Privada,489.2,457.0,374.2,484.4,580.0,ES incompleto,ES incompleto,True,17.0,1540.0016666666668,1.0,0.3333333333333333,0.3333333333333333,2.6666666666666665
5080,Feminino,Branca,Privada,556.0,527.1,573.9,608.7,860.0,PG incompleto,PG incompleto,True,17.0,7425.001249999999,1.125,0.75,0.75,2.625
5081,Masculino,Branca,Privada,572.7,502.7,710.9,468.0,500.0,ES incompleto,ES incompleto,True,17.0,1155.00125,1.125,0.25,0.25,1.5
5082,Feminino,Parda,Estadual,554.7,443.3,470.8,537.1,660.0,ES incompleto,PG completo,True,18.0,4455.00125,1.125,0.5,0.5,1.5
5083,Feminino,Branca,Estadual,487.9,395.9,497.6,483.9,560.0,ES incompleto,PG incompleto,True,18.0,330.00100000000003,0.9,0.0,0.0,1.0
5084,Masculino,Branca,Estadual,591.3,449.7,542.2,596.3,340.0,PG incompleto,ES incompleto,True,18.0,1485.00125,1.125,0.5,0.25,1.5
5085,Masculino,Preta,Estadual,529.2,489.8,474.1,510.7,0.0,EF-1 incompleto,ES incompleto,True,17.0,0.0,0.0,0.0,0.0,1.5
5086,Masculino,Branca,Estadual,475.2,515.6,339.0,474.0,520.0,ES incompleto,ES incompleto,True,17.0,132.0,0.4,0.4,0.2,1.2
5087,Masculino,Branca,Privada,531.4,549.6,566.7,508.4,660.0,PG incompleto,PG completo,True,17.0,5940.000999999999,0.9,0.4,0.4,1.6
